###PGS CATALOG SCORING FILE - see https://https://www.pgscatalog.org/downloads/#dl_ftp_scoring for additional information
#format_version=2.0
##POLYGENIC SCORE (PGS) INFORMATION
#pgs_id=PGS000876
#pgs_name=PRS31_AD
#trait_reported=Alzheimer's disease
#trait_mapped=Alzheimer disease
#trait_efo=MONDO_0004975
#weight_type=ln(OR)
#genome_build=GRCh37
#variants_number=31
##SOURCE INFORMATION
#pgp_id=PGP000222
#citation=Leonenko G et al. Ann Clin Transl Neurol (2019). doi:10.1002/acn3.716
rsID	chr_name	chr_position	effect_allele	effect_weight	locus_name
rs4266886	1	207685786	T	0.152	CR1
rs61822977	1	207796065	A	-0.082	CR1
rs6733839	2	127892810	T	0.1807	BIN1
rs10202748	2	234003117	A	-0.0603	INPP5D
rs115124923	6	32510482	A	-0.0973	HLA_DRB5
rs115675626	6	32669833	A	0.104	HLA_DQB1
rs1109581	6	47678182	T	0.0601	GPR115
rs17265593	7	37619922	T	-0.062	BC043356
rs2597283	7	37690507	A	0.0629	BC043356
rs1476679	7	100004446	T	0.0712	ZCWPW1
rs78571833	7	143122924	A	0.2083	AL833583
rs12679874	8	27230819	A	-0.0748	PTK2B
rs2741342	8	27330096	T	-0.0872	CHRNA2
rs7831810	8	27430506	A	-0.0774	CLU
rs1532277	8	27466181	T	-0.1271	CLU
rs9331888	8	27468862	C	-0.0806	CLU
rs7920721	10	11720308	A	-0.066	CR595071
rs3740688	11	47380340	T	0.0739	SPI1
rs7116190	11	59964992	A	-0.0968	MS4A6A
rs526904	11	85811364	T	-0.113	PICALM
rs543293	11	85820077	A	-0.1192	PICALM
rs11218343	11	121435587	T	0.2539	SORL1
rs6572869	14	53353454	A	0.1006	FERMT2
rs12590273	14	92934120	T	0.1231	SLC24A4
rs7145100	14	107160690	C	-0.1081	abParts
rs74615166	15	64725490	T	-0.2986	TRIP4
rs2526378	17	56404349	A	0.0754	BZRAP1
rs117481827	19	1021627	T	-0.1059	C19orf6
rs7408475	19	1050130	C	-0.0973	ABCA7
rs3752246	19	1056492	C	-0.1308	ABCA7
rs7274581	20	55018260	A	0.1497	CASS4
